State,Number of Farmers Markets
Alabama,140
Alaska,31
Arizona,81
Arkansas,92
California,759
Colorado,157
Connecticut,156
Delaware,29
DC,35
Florida,224
Georgia,138
Hawaii,95
Idaho,69
Illinois,336
Indiana,171
Iowa,229
Kansas,92
Kentucky,131
Louisiana,66
Maine,93
Maryland,147
Massachusetts,289
Michigan,330
Minnesota,186
Mississippi,82
Missouri,246
Montana,66
Nebraska,93
Nevada,46
New Hampshire,96
New Jersey,139
New Mexico,69
New York,637
North Carolina,229
North Dakota,63
Ohio,300
Oklahoma,69
Oregon,173
Pennsylvania,290
Rhode Island,57
South Carolina,127
South Dakota,38
Tenneessee,99
Texas,183
Utah,40
Vermont,100
Virgin Islands,4
Virginia,246
Washington,159
West Virginia,90
Wisconsin,286
Wyoming,41
